,Title,Date,Price,Store,Town,Wilaya,Area,FlatType,isForRent
0,Vente Appartement F4 Alger Bordj el kiffan,2025-07-22 15:56:01+00:00,15000000.0,Le Roi Immo ,Bordj el kiffan,Alger,114,F4,False
1,Vente Appartement F2 Alger Cheraga,2025-07-22 15:55:36+00:00,,BINAM IMMOBILIER,Cheraga,Alger,53,F2,False
2,Location Appartement F3 Annaba Annaba,2025-07-22 15:53:18+00:00,50000.0,Agence Immobilière Bône Adresse Annaba,Annaba,Annaba,,F3,True
3,Vente Appartement F4 Alger Mohammadia,2025-07-22 15:53:18+00:00,32500.0,Sultan Real Estate,Mohammadia,Alger,112,F4,False
4,Vente Appartement F3 Alger Bordj el bahri,2025-07-22 15:53:10+00:00,20000000.0,Sultan Real Estate,Bordj el bahri,Alger,90,F3,False
5,Location Appartement F4 Alger Cheraga,2025-07-22 15:36:32+00:00,130000.0,,Cheraga,Alger,,F4,True
6,Location vacances Villa Tipaza Hadjeret ennous,2025-07-22 15:29:15+00:00,18000.0,,Hadjeret ennous,Tipaza,,,True
7,Location Appartement F3 Alger Mohammadia,2025-07-22 15:53:06+00:00,100000.0,Agence Immobiliére Assala,Mohammadia,Alger,,F3,True
8,Location Local Alger Cheraga,2025-07-22 15:51:25+00:00,170000.0,RN Business Dar Diaf,Cheraga,Alger,105,,True
9,Location vacances Appartement F3 Oran Oran,2025-07-22 15:50:37+00:00,14000.0,IMMO SERVICES,Oran,Oran,,F3,True
10,Location Appartement F3 Alger Mohammadia,2025-07-22 15:50:22+00:00,80000.0,Agence Immobiliére Assala,Mohammadia,Alger,,F3,True
11,Vente Appartement F3 Alger El marsa,2025-07-22 15:49:43+00:00,19500000.0,	golden hk souhila,El marsa,Alger,66,F3,False
12,Vente Villa Oran Es senia,2025-07-22 15:17:27+00:00,,,Es senia,Oran,,,False
13,Location vacances Appartement F2 Béjaïa Bejaia,2025-07-22 15:16:07+00:00,5000.0,,Bejaia,Béjaïa,60,F2,True
14,Location Appartement F3 Alger El mouradia,2025-07-22 15:49:31+00:00,150000.0,Agence Immobilière Ramdani ,El mouradia,Alger,,F3,True
15,Vente Appartement Alger Bordj el bahri,2025-07-22 15:47:46+00:00,,Sultan Real Estate,Bordj el bahri,Alger,,,False
16,Vente Appartement F2 Alger Mohammadia,2025-07-22 15:47:45+00:00,17000.0,Sultan Real Estate,Mohammadia,Alger,70,F2,False
17,Vente Appartement F3 Alger Ain taya,2025-07-22 15:47:21+00:00,16800000.0,Sultan Real Estate,Ain taya,Alger,87,F3,False
18,Vente Appartement F2 Alger Bordj el bahri,2025-07-22 15:47:02+00:00,,Building Immo,Bordj el bahri,Alger,55,F2,False
19,Vente Appartement Alger Saoula,2025-07-22 15:13:30+00:00,,,Saoula,Alger,,,False
20,Location vacances bien immobilier Studio F2 Skikda Collo,2025-07-22 15:03:38+00:00,3500.0,,Collo,Skikda,,F2,True
21,Vente Appartement F4 Alger Bordj el kiffan,2025-07-22 15:47:02+00:00,,Building Immo,Bordj el kiffan,Alger,128,F4,False
